Sales Person,Country,Product,Date,Amount ($),Boxes Shipped
Margarida Silva,Germany,Avène Cleanance Expert Emulsion 30ml,2023-05-03,683.8,18
João Vieira,Singapore,First Aid Beauty Ultra Repair Tinted Moisturizer SPF 30 30ml,2021-12-30,3544.17,41
Dinis Pereira,Germany,Murad Vita-C Glycolic Brightening Serum 150ml,2023-11-25,8784.78,162
Tomás Rodrigues,Germany,REN Clean Skincare Overnight Glow Dark Spot Sleeping Cream 250ml,2024-03-01,3494.57,50
Dinis Pereira,Brazil,The Ordinary Natural Moisturising Factors + HA 75ml,2024-03-08,7268.71,196
Francisco Mendes,Indonesia,Avène Cicalfate+ Restorative Protective Cream 40ml,2020-07-23,1827.71,56
Matilde Moreira,Mexico,Avène Eau Thermale Spray 125ml,2024-12-08,16710.33,395
Miguel Ferreira,Thailand,Olay Super Serum 5-in-1 50ml,2024-09-29,816.25,17
Martim Pinto,United Kingdom,Murad Retinol Youth Renewal Serum 50ml,2021-10-13,2554.05,58
Diogo Ribeiro,Poland,La Roche-Posay Toleriane Hydrating Gentle Cleanser 250ml,2024-07-30,30188.44,308
Rodrigo Pereira,Netherlands,Estée Lauder Nutritious Super-Pomegranate Radiant Energy Eye Jelly 250ml,2023-08-14,4148.63,65
Lucas Coelho,Philippines,Pixi Overnight Glow Serum 100ml,2022-01-11,9183.25,133
Tomás Almeida,France,Murad Brightening Booster 60ml,2020-11-20,980.77,16
Rafael Vieira,Colombia,Olay Eyes Ultimate Eye Cream 150ml,2024-04-26,1644.06,78
Beatriz Cardoso,Netherlands,Drunk Elephant Protini Polypeptide Cream 40ml,2020-08-19,1702.95,14
Afonso Monteiro,China,Drunk Elephant Protini Polypeptide Cream 340g,2023-09-01,428.16,15
Pedro Cruz,Sweden,Paula's Choice SKIN PERFECTING 2% BHA Liquid Exfoliant 150ml,2022-10-11,4462.18,40
Francisco Almeida,India,The Ordinary Buffet Multi-Technology Peptide Serum 150ml,2022-03-08,698.93,65
Dinis Pereira,Poland,La Roche-Posay Toleriane Double Repair Moisturiser 15ml,2024-03-17,13048.93,121
Sofia Jesus,Mexico,Clinique Moisture Surge 100H Auto-Replenishing Hydrator 100ml,2021-08-28,5418.47,86
Gonçalo Coelho,Sweden,Drunk Elephant Virgin Marula Luxury Face Oil 200ml,2020-08-11,10951.46,351
Mariana Soares,Netherlands,COSRX Oil-Free Ultra-Moisturizing Lotion 30ml,2023-03-01,6461.93,64
Rafael Pereira,Italy,The Ordinary Retinol 0.5% in Squalane 56.7g,2023-03-05,5083.93,52
Pedro Pereira,Germany,CeraVe AM Facial Moisturising Lotion SPF25 50ml,2024-11-26,8256.72,106
Margarida Teixeira,Argentina,Neutrogena Oil-Free Acne Wash 30g,2024-05-29,2410.75,103
Maria Coelho,Singapore,Bioderma Atoderm Intensive Baume 56.7g,2024-11-02,1828.51,32
Carolina Vieira,South Korea,CeraVe Renewing SA Cream 150ml,2021-07-25,4241.69,138
Margarida Oliveira,Mexico,Skinceuticals Metacell Renewal B3 150ml,2024-03-18,1180.51,134
Miguel Ferreira,Spain,Pixi Rose Ceramide Cream 200ml,2023-12-02,9588.07,317
Beatriz Cardoso,China,Kiehl's Powerful-Strength Line-Reducing Concentrate 15ml,2021-11-06,2239.24,370
Lucas Costa,Mexico,REN Clean Skincare Overnight Glow Dark Spot Sleeping Cream 340g,2024-07-28,8146.89,283
Carolina Pereira,Italy,Murad Hydro-Dynamic Ultimate Moisture 40ml,2021-05-17,4874.25,61
Mariana Cruz,United States,The Ordinary Glycolic Acid 7% Toning Solution 200ml,2021-05-06,2236.74,145
Francisco Jesus,Argentina,Sunday Riley Auto Correct Brightening and Depuffing Eye Contour Cream 30ml,2022-12-13,8315.02,150
Pedro Ferreira,Colombia,The Ordinary Niacinamide 10% + Zinc 1% 50ml,2021-01-03,26372.3,232
Ana Teixeira,China,Avène Retrinal+ 0.1 Intensive Cream 40ml,2023-04-29,3128.48,67
Ana Ferreira,Thailand,CeraVe AM Facial Moisturising Lotion SPF25 60ml,2021-06-29,1369.59,47
Tiago Carvalho,Colombia,Pixi Hydrating Milky Serum 30g,2024-11-19,45989.76,476
Lucas Rodrigues,Philippines,Avène Antirougeurs Jour Redness Relief Cream 60ml,2023-03-27,3325.97,30
Clara Cardoso,Netherlands,Pixi +C VIT Brightening Serum 30ml,2022-08-19,8584.06,104
Inês Ribeiro,Brazil,CeraVe PM Facial Moisturising Lotion 340g,2022-04-17,817.37,252
Rafael Vieira,Singapore,La Roche-Posay Anthelios Invisible Fluid SPF50+ 75ml,2022-08-30,4912.51,145
Clara Gomes,Japan,Drunk Elephant B-Hydra Intensive Hydration Serum 40ml,2022-03-02,7909.49,118
Pedro Cruz,Spain,CeraVe Skin Renewing Night Cream 50ml,2022-11-07,940.89,46
Mariana Martins,France,Kiehl's Super Multi-Corrective Anti-Aging Face & Neck Cream 40ml,2021-04-01,1429.05,158
Gonçalo Almeida,Singapore,Murad Retinol Youth Renewal Serum 150ml,2021-12-13,2978.05,27
Joana Teixeira,South Korea,Clinique Repairwear Laser Focus Eye Cream 100ml,2022-11-11,1526.92,34
Leonor Coelho,Argentina,Estée Lauder Resilience Lift Firming & Sculpting Eye Cream 340g,2022-12-26,5261.33,136
Matilde Cruz,Philippines,CeraVe Hydrating Cleanser 100ml,2021-02-27,6458.31,68
Leonor Marques,United States,First Aid Beauty Eye Duty Triple Remedy AM Gel Cream 15ml,2022-04-03,19289.67,410
Tomás Correia,Colombia,Paula's Choice SKIN PERFECTING 2% BHA Liquid Exfoliant 50ml,2022-06-23,11300.76,121
Matilde Moreira,China,Skinceuticals Metacell Renewal B3 30ml,2023-11-07,10575.91,132
Gonçalo Rodrigues,Sweden,COSRX Balancium B5 Biome Comfort Cream 150ml,2022-05-08,4822.42,81
Afonso Neves,Thailand,Kiehl's Creamy Eye Treatment with Avocado 150ml,2021-02-11,10449.32,171
Diogo Ribeiro,Poland,Clinique Even Better Clinical Radical Dark Spot Corrector 50ml,2023-07-12,21837.95,247
Dinis Silva,Singapore,Drunk Elephant Lala Retro Whipped Cream 56.7g,2020-06-07,14048.6,144
Joana Teixeira,Thailand,Olay Total Effects 7-in-1 Moisturiser 30ml,2024-07-25,2535.51,29
Tomás Ribeiro,Japan,Estée Lauder Re-Nutriv Ultimate Lift Age-Correcting Crème 200ml,2022-03-08,1958.6,45
Tiago Carvalho,India,Avène XeraCalm A.D Lipid-Replenishing Cream 30g,2021-03-02,3466.37,164
Sofia Carvalho,Italy,REN Clean Skincare Vita Mineral Active 7 Eye Gel 100ml,2022-04-13,2179.11,144
Laura Soares,Indonesia,Drunk Elephant Protini Polypeptide Cream 20ml,2021-02-04,5684.19,146
Ana Ferreira,France,Neutrogena Oil-Free Acne Wash 200ml,2023-09-14,3154.55,66
Tiago Jesus,Chile,Sunday Riley Ice Ceramide Moisturizing Cream 20ml,2021-03-19,5978.92,248
João Nunes,Thailand,Avène XeraCalm A.D Lipid-Replenishing Cream 50ml,2024-02-28,612.03,21
Gonçalo Ribeiro,Mexico,COSRX Balancium B5 Biome Comfort Cream 100ml,2022-05-04,9755.06,160
João Nunes,Sweden,Sunday Riley Luna Sleeping Night Oil 200ml,2022-08-07,7709.33,104
Miguel Ferreira,Japan,Olay Eyes Ultimate Eye Cream 100ml,2020-01-14,8107.53,81
Afonso Martins,Netherlands,Skinceuticals Discoloration Defense Serum 125ml,2020-12-27,4011.6,116
Afonso Oliveira,France,Sunday Riley C.E.O. 15% Vitamin C Brightening Serum 340g,2020-05-16,27140.08,463
Margarida Cardoso,Philippines,Pixi Vitamin-C Juice Cleanser 56.7g,2021-03-10,204.97,30
Mariana Soares,Thailand,Murad Oil-Control Mattifier SPF45 20ml,2022-07-14,3909.61,86
Afonso Vieira,Netherlands,Paula's Choice CLINICAL 1% Retinol Treatment 40ml,2021-06-01,12419.51,106
Clara Mendes,Germany,Drunk Elephant A-Passioni Retinol Cream 340g,2023-05-02,551.04,48
Diogo Rodrigues,Mexico,Paula's Choice BOOST 10% Niacinamide Booster 125ml,2021-08-29,30531.38,322
Diogo Cardoso,Japan,Tatcha The Indigo Overnight Repair Treatment 30ml,2021-03-23,4240.59,64
Joana Teixeira,Netherlands,Neutrogena Rapid Wrinkle Repair Retinol Cream 200ml,2020-06-21,11699.71,111
Rafael Vieira,United Kingdom,La Roche-Posay Lipikar Balm AP+ 20ml,2021-12-19,5666.44,89
Leonor Coelho,United Kingdom,Kiehl's Creamy Eye Treatment with Avocado 56.7g,2020-09-26,7474.37,215
Beatriz Cardoso,Chile,REN Clean Skincare Overnight Glow Dark Spot Sleeping Cream 75ml,2022-09-19,5525.38,107
Margarida Pereira,Spain,La Roche-Posay Cicaplast Baume B5 250ml,2021-08-31,4970.42,104
Diogo Martins,France,First Aid Beauty Ultra Repair Firming Collagen Cream 30ml,2022-08-15,2643.16,27
Maria Correia,Chile,Neutrogena Norwegian Formula Face Cream 250ml,2024-06-03,2810.36,143
Rodrigo Pereira,Poland,Clinique Turnaround Overnight Revitalizing Moisturizer 250ml,2023-03-19,1116.98,42
Diogo Martins,Spain,Tatcha The Dewy Skin Cream 125ml,2023-07-09,734.87,10
Sofia Carvalho,Italy,Sunday Riley Tidal Brightening Enzyme Water Cream 150ml,2022-11-14,11570.48,190
Ana Vieira,Italy,Drunk Elephant T.L.C. Framboos Glycolic Night Serum 20ml,2024-12-09,5517.66,65
Inês Ferreira,Brazil,Kiehl's Ultra Facial Cream 20ml,2021-05-21,23543.65,285
Rodrigo Pereira,Canada,Murad Cellular Hydration Barrier Repair Cream 340g,2024-07-05,1719.44,22
Sofia Martins,Germany,Neutrogena Hydro Boost Eye Gel-Cream 60ml,2020-05-05,2247.96,71
Catarina Neves,Brazil,Drunk Elephant Lala Retro Whipped Cream 200ml,2024-11-11,3009.22,84
Clara Cardoso,South Korea,Drunk Elephant T.L.C. Framboos Glycolic Night Serum 30g,2020-09-20,5578.01,73
Tiago Cardoso,Thailand,The Ordinary Salicylic Acid 2% Solution 250ml,2022-04-24,9074.86,93
Tomás Coelho,South Korea,COSRX Balancium B5 Biome Comfort Cream 40ml,2020-08-03,1962.08,119
Pedro Santos,Singapore,First Aid Beauty FAB Skin Lab Resurfacing Liquid 10% AHA 56.7g,2024-10-29,5037.64,147
Lucas Santos,India,Bioderma Atoderm Intensive Baume 20ml,2023-03-03,3683.55,47
Laura Pereira,France,Skinceuticals Physical Fusion UV Defense SPF 50 15ml,2024-08-23,3387.94,41
Francisco Mendes,United Kingdom,First Aid Beauty Ultra Repair Firming Collagen Cream 30ml,2023-07-17,909.04,14
Matilde Teixeira,China,Skinceuticals Triple Lipid Restore 2:4:2 50ml,2024-04-06,1181.38,51
Francisco Mendes,Colombia,Murad Vita-C Glycolic Brightening Serum 15ml,2021-11-20,1628.0,16
Inês Ribeiro,Chile,COSRX AC Collection Lightweight Soothing Moisturizer 200ml,2022-11-23,12778.06,110
Francisco Fernandes,Germany,La Roche-Posay Retinol B3 Serum 340g,2021-08-09,4313.74,43
Afonso Martins,France,Skinceuticals Discoloration Defense Serum 40ml,2024-06-09,11550.51,148
Catarina Correia,Canada,Paula's Choice RESIST Anti-Aging Clear Skin Hydrator 30g,2023-04-11,17491.92,214
Rafael Neves,Philippines,Skinceuticals Metacell Renewal B3 250ml,2024-04-18,10997.6,203
Afonso Almeida,China,Clinique Moisture Surge 100H Auto-Replenishing Hydrator 60ml,2021-06-03,6595.83,83
Rodrigo Pereira,Philippines,Paula's Choice CALM Redness Relief Moisturizer SPF 30 15ml,2020-08-25,2511.59,31
Pedro Santos,China,Skinceuticals Discoloration Defense Serum 15ml,2022-04-07,15475.8,326
Dinis Cardoso,United States,Tatcha The Water Cream 30ml,2024-11-11,4796.97,101
João Neves,Mexico,Kiehl's Ultra Facial Cream 40ml,2021-06-29,10519.59,228
Afonso Monteiro,Italy,Drunk Elephant Lala Retro Whipped Cream 20ml,2022-05-29,5242.13,123
Inês Ferreira,South Korea,Sunday Riley Ice Ceramide Moisturizing Cream 150ml,2022-01-14,30963.84,525
Mariana Soares,Singapore,REN Clean Skincare Clean Screen Mineral SPF30 125ml,2021-10-20,21792.22,204
Afonso Monteiro,United States,Neutrogena Bright Boost Gel Cream 250ml,2020-08-08,4454.05,149
Pedro Santos,Philippines,Bioderma Sensibio H2O Micellar Water 15ml,2021-07-08,969.82,61
Dinis Pereira,United States,Paula's Choice DEFENSE Antioxidant Pore Purifier 50ml,2020-08-28,2138.88,27
Tiago Jesus,India,Kiehl's Clearly Corrective Dark Spot Solution 40ml,2024-02-24,4295.58,55
Sara Cruz,Spain,La Roche-Posay Retinol B3 Serum 250ml,2023-02-18,2357.06,97
Pedro Cruz,Germany,Olay Regenerist Micro-Sculpting Cream 30ml,2024-08-03,12117.14,125
Afonso Monteiro,Singapore,Clinique Smart Night Custom-Repair Moisturiser 60ml,2024-10-19,2102.64,43
Lucas Costa,Philippines,COSRX Ultimate Moisturizing Honey Overnight Mask 60ml,2020-05-17,11808.1,111
Mariana Cruz,United States,Kiehl's Rare Earth Deep Pore Cleansing Masque 60ml,2024-02-07,8639.39,86
Rodrigo Soares,Brazil,Estée Lauder DayWear Multi-Protection Anti-Oxidant 24H Moisturizer SPF15 150ml,2020-09-18,2141.82,95
Mariana Soares,Singapore,Olay Regenerist Micro-Sculpting Cream 150ml,2023-09-18,6189.95,64
Inês Nunes,Argentina,REN Clean Skincare Evercalm Global Protection Day Cream 20ml,2022-07-13,13819.22,328
Dinis Carvalho,Germany,Sunday Riley Saturn Sulfur Acne Treatment Mask 340g,2020-07-01,5286.19,69
Diogo Rodrigues,Colombia,Kiehl's Super Multi-Corrective Anti-Aging Face & Neck Cream 40ml,2021-05-16,722.36,10
Miguel Marques,Thailand,Bioderma Hydrabio Gel-Crème 200ml,2020-04-24,1502.3,70
Sara Fernandes,United States,First Aid Beauty Ultra Repair Firming Collagen Cream 30g,2024-12-15,9811.45,161
Margarida Teixeira,Germany,Avène Cicalfate+ Restorative Protective Cream 50ml,2022-07-30,4643.45,59
Francisco Mendes,Mexico,Drunk Elephant B-Hydra Intensive Hydration Serum 75ml,2024-04-08,4008.43,54
Joana Oliveira,Germany,Estée Lauder Advanced Night Repair Serum 30ml,2024-10-11,14003.27,363
Pedro Sousa,Netherlands,La Roche-Posay Cicaplast Baume B5 75ml,2023-04-22,24923.44,254
Joana Teixeira,Canada,Tatcha The Indigo Overnight Repair Treatment 250ml,2020-09-13,6908.93,109
Beatriz Cardoso,Germany,First Aid Beauty KP Bump Eraser Body Scrub 125ml,2024-06-15,2936.06,135
Laura Costa,Mexico,Tatcha The Essence Plump Skin Softener 50ml,2024-02-26,2449.55,24
Miguel Martins,Japan,Sunday Riley C.E.O. 15% Vitamin C Brightening Serum 150ml,2021-08-13,50289.52,532
Tomás Coelho,Sweden,First Aid Beauty KP Bump Eraser Body Scrub 20ml,2024-04-28,20254.06,396
Maria Moreira,Germany,Olay Eyes Ultimate Eye Cream 200ml,2020-05-27,3724.31,87
Mariana Cruz,South Korea,Murad Brightening Booster 125ml,2021-01-24,1603.43,62
Sara Almeida,Poland,Estée Lauder Advanced Night Repair Serum 56.7g,2020-03-02,824.33,53
Joana Oliveira,Brazil,Drunk Elephant Protini Polypeptide Cream 56.7g,2023-11-04,11105.89,214
Ana Vieira,Netherlands,Skinceuticals C E Ferulic Serum 100ml,2023-02-12,4400.74,92
Carolina Jesus,Thailand,Murad Retinol Youth Renewal Serum 250ml,2022-03-01,2418.43,33
Rodrigo Teixeira,Germany,Paula's Choice CLINICAL 1% Retinol Treatment 150ml,2023-10-30,1331.56,41
Diogo Rodrigues,Canada,Pixi Hydrating Milky Serum 40ml,2021-05-08,10000.79,201
Leonor Pinto,Brazil,Skinceuticals Metacell Renewal B3 250ml,2021-10-25,1032.58,65
Mariana Martins,Netherlands,COSRX Ultimate Moisturizing Honey Overnight Mask 40ml,2024-02-08,532.2,53
Francisco Mendes,Sweden,COSRX Advanced Snail 96 Mucin Power Essence 200ml,2020-08-14,7232.39,211
Beatriz Ferreira,Singapore,REN Clean Skincare Evercalm Global Protection Day Cream 30ml,2022-04-06,25170.84,306
Clara Cardoso,Colombia,Tatcha The Dewy Skin Cream 150ml,2021-05-26,8568.02,115
Sara Mendes,Spain,Skinceuticals B5 Gel Hydrating Serum 75ml,2021-06-19,963.89,22
Joana Teixeira,Thailand,Avène Cicalfate+ Restorative Protective Cream 20ml,2023-02-25,4132.85,81
Dinis Ferreira,Chile,Olay Super Serum 5-in-1 15ml,2021-03-07,12741.85,317
Matilde Cruz,Chile,CeraVe PM Facial Moisturising Lotion 250ml,2021-07-20,1794.68,47
Miguel Rocha,Italy,Murad Retinol Youth Renewal Serum 75ml,2020-07-04,2044.32,97
Catarina Jesus,France,CeraVe PM Facial Moisturising Lotion 100ml,2023-09-24,8110.46,143
Tomás Ribeiro,Canada,Olay Total Effects 7-in-1 Moisturiser 15ml,2021-08-14,359.92,41
Afonso Pereira,United States,The Ordinary Natural Moisturising Factors + HA 125ml,2020-08-03,7366.38,66
João Costa,France,Neutrogena Hydro Boost Water Gel 56.7g,2022-08-30,7347.96,120
Rafael Pereira,Germany,COSRX Advanced Snail 92 All in One Cream 30g,2024-04-24,1984.26,63
Ana Teixeira,Poland,Sunday Riley Auto Correct Brightening and Depuffing Eye Contour Cream 250ml,2022-08-27,2254.14,22
Pedro Cruz,United Kingdom,Pixi Hydrating Milky Serum 15ml,2023-12-17,8367.02,121
Laura Fernandes,South Korea,Estée Lauder Revitalizing Supreme+ Moisturizer 15ml,2024-02-24,2703.75,110
Diogo Costa,Brazil,Avène Cleanance Expert Emulsion 75ml,2022-12-24,14443.51,150
Carolina Vieira,Germany,Clinique Dramatically Different Moisturising Lotion+ 250ml,2021-05-26,1881.63,19
Mariana Cruz,Mexico,The Ordinary Buffet Multi-Technology Peptide Serum 200ml,2020-12-21,1004.69,45
Joana Teixeira,Philippines,The Ordinary Hyaluronic Acid 2% + B5 200ml,2022-07-15,12128.35,255
Ana Ferreira,Colombia,Clinique Moisture Surge 100H Auto-Replenishing Hydrator 340g,2022-08-26,2430.37,132
Lucas Rodrigues,South Korea,Tatcha The Essence Plump Skin Softener 340g,2022-03-07,1523.67,145
Beatriz Cardoso,Mexico,COSRX Advanced Snail 96 Mucin Power Essence 30ml,2020-09-26,1196.58,406
Lucas Costa,Thailand,Olay Luminous Whip Face Moisturiser 30g,2020-12-05,4279.69,58
Afonso Monteiro,Italy,Estée Lauder Perfectly Clean Multi-Action Foam Cleanser 30g,2020-04-07,13436.56,142
Lucas Rodrigues,Chile,Avène PhysioLift Night Smoothing Balm 56.7g,2020-03-18,944.4,16
Rodrigo Coelho,Chile,First Aid Beauty Eye Duty Triple Remedy AM Gel Cream 200ml,2023-06-23,3974.17,110
Diogo Cardoso,Philippines,La Roche-Posay Anthelios Invisible Fluid SPF50+ 40ml,2022-06-08,827.58,41
Margarida Mendes,South Korea,First Aid Beauty KP Bump Eraser Body Scrub 200ml,2021-08-26,12236.61,123
Martim Teixeira,Germany,Clinique Dramatically Different Moisturising Lotion+ 30ml,2024-05-01,34.14,11
Gonçalo Ribeiro,Brazil,REN Clean Skincare Overnight Glow Dark Spot Sleeping Cream 200ml,2024-05-12,4595.77,59
Dinis Carvalho,United States,Paula's Choice CALM Redness Relief Moisturizer SPF 30 60ml,2021-05-04,11474.91,316
Maria Ferreira,Argentina,Olay Luminous Whip Face Moisturiser 340g,2022-05-21,2594.71,55
Rodrigo Pereira,Sweden,Tatcha The Rice Polish Foaming Enzyme Powder 75ml,2020-01-06,11132.77,115
Mariana Mendes,Poland,Estée Lauder Re-Nutriv Ultimate Lift Age-Correcting Crème 30g,2023-03-20,4490.38,46
Laura Mendes,Sweden,REN Clean Skincare Evercalm Global Protection Day Cream 340g,2023-07-24,28381.57,364
Afonso Almeida,Mexico,Clinique Dramatically Different Moisturising Lotion+ 75ml,2023-10-15,4464.3,115
Catarina Martins,Sweden,Drunk Elephant F-Balm Electrolyte Waterbalm 60ml,2021-09-07,13376.66,277
Laura Carvalho,United States,Paula's Choice CLINICAL 1% Retinol Treatment 200ml,2020-10-18,9161.91,145
Margarida Mendes,China,Pixi Retinol Tonic 75ml,2020-03-17,4358.35,41
Dinis Carvalho,United States,Paula's Choice DEFENSE Antioxidant Pore Purifier 60ml,2020-12-17,4291.91,38
Dinis Cardoso,Thailand,Pixi Vitamin-C Juice Cleanser 40ml,2021-05-24,18834.79,358
Afonso Neves,Philippines,Avène Hydrance Rich Rehydrating Cream 250ml,2023-06-14,5745.76,148
Rafael Gomes,Netherlands,First Aid Beauty Eye Duty Triple Remedy AM Gel Cream 30g,2024-07-16,12982.73,164
Catarina Neves,Netherlands,Clinique Smart Night Custom-Repair Moisturiser 30ml,2020-05-08,17857.41,389
Ana Nunes,Indonesia,Drunk Elephant Lala Retro Whipped Cream 250ml,2021-01-12,10389.36,297
Leonor Coelho,Brazil,First Aid Beauty Ultra Repair Firming Collagen Cream 75ml,2020-05-09,1375.75,139
Leonor Coelho,Argentina,The Ordinary Natural Moisturising Factors + HA 30ml,2023-07-04,10155.68,103
Rodrigo Pereira,South Korea,The Ordinary AHA 30% + BHA 2% Peeling Solution 40ml,2022-09-28,3703.34,62
Lucas Costa,Poland,First Aid Beauty Pure Skin Face Cleanser 250ml,2021-04-04,1704.37,22
Rafael Martins,Netherlands,Skinceuticals Triple Lipid Restore 2:4:2 125ml,2024-08-15,12325.73,114
Dinis Monteiro,Netherlands,Murad AHA/BHA Exfoliating Cleanser 200ml,2021-03-11,2150.27,74
Rodrigo Teixeira,Argentina,Clinique Smart Night Custom-Repair Moisturiser 250ml,2022-05-08,1023.92,137
Mariana Teixeira,United Kingdom,Kiehl's Powerful-Strength Line-Reducing Concentrate 60ml,2022-01-03,10264.37,96
Lucas Santos,Thailand,Neutrogena Cellular Boost Concentrate Serum 200ml,2020-04-15,10037.32,192
Catarina Neves,Argentina,Pixi Vitamin-C Juice Cleanser 200ml,2022-04-05,2947.82,95
Leonor Jesus,United Kingdom,Neutrogena Bright Boost Gel Cream 75ml,2021-02-19,3992.13,58
Inês Ferreira,Netherlands,Pixi Hydrating Milky Serum 50ml,2021-11-24,10354.79,111
Diogo Rocha,Italy,Pixi Glow Tonic 30ml,2021-04-24,697.31,29
Tiago Cardoso,Brazil,Clinique Smart Night Custom-Repair Moisturiser 100ml,2020-11-22,472.47,18
Mariana Soares,Argentina,COSRX Full Fit Propolis Light Cream 125ml,2024-08-05,1430.32,52
Inês Ribeiro,Poland,Neutrogena Ultra Sheer Dry-Touch Sunscreen SPF 50+ 30ml,2024-08-01,6463.73,61
Dinis Carvalho,Colombia,The Ordinary Buffet Multi-Technology Peptide Serum 20ml,2023-01-21,980.48,153
Margarida Cardoso,Chile,Skinceuticals B5 Gel Hydrating Serum 56.7g,2020-01-12,1578.52,48
Beatriz Jesus,Chile,La Roche-Posay Lipikar Balm AP+ 100ml,2021-09-17,3305.72,118
Martim Rodrigues,Sweden,Estée Lauder Re-Nutriv Ultimate Lift Age-Correcting Crème 20ml,2022-01-15,2805.88,35
Catarina Martins,Canada,Clinique Smart Night Custom-Repair Moisturiser 250ml,2022-10-10,27571.88,233
Clara Gomes,Thailand,CeraVe PM Facial Moisturising Lotion 50ml,2021-06-25,3359.37,131
Afonso Oliveira,Argentina,The Ordinary Buffet Multi-Technology Peptide Serum 340g,2024-08-22,208.15,36
João Cardoso,Netherlands,Skinceuticals Physical Fusion UV Defense SPF 50 50ml,2024-10-10,1346.58,26
Tiago Almeida,South Korea,The Ordinary Hyaluronic Acid 2% + B5 15ml,2023-04-10,4745.81,40
Dinis Pereira,Spain,Skinceuticals Discoloration Defense Serum 250ml,2024-01-28,3896.92,452
Dinis Pereira,Mexico,Avène Cicalfate+ Restorative Protective Cream 56.7g,2024-08-21,9249.14,86
Rafael Gomes,Thailand,Paula's Choice CALM Redness Relief Moisturizer SPF 30 30g,2024-03-04,835.53,103
Inês Martins,United States,Murad Vita-C Glycolic Brightening Serum 250ml,2024-09-03,2610.59,29
Carolina Pereira,Philippines,REN Clean Skincare Radiance Perfection Serum 200ml,2023-01-28,23519.71,298
Diogo Rocha,Argentina,Paula's Choice SKIN PERFECTING 2% BHA Liquid Exfoliant 56.7g,2021-07-13,6848.83,72
Pedro Cruz,France,Bioderma Sensibio Light Soothing Cream 50ml,2021-10-02,9079.42,81
Beatriz Marques,Sweden,Skinceuticals Metacell Renewal B3 56.7g,2023-07-01,1951.8,21
Maria Coelho,Argentina,First Aid Beauty Ultra Repair Tinted Moisturizer SPF 30 250ml,2024-10-06,4566.32,117
Afonso Monteiro,South Korea,Pixi Rose Ceramide Cream 20ml,2022-05-30,14779.12,261
Catarina Neves,Mexico,Skinceuticals C E Ferulic Serum 30g,2022-02-14,9683.17,103
Gonçalo Ribeiro,China,Neutrogena Norwegian Formula Face Cream 75ml,2021-11-29,2752.71,134
Inês Nunes,Italy,Kiehl's Powerful-Strength Line-Reducing Concentrate 56.7g,2024-03-20,232.82,13
Inês Ferreira,United Kingdom,Pixi Rose Ceramide Cream 340g,2022-05-13,7659.64,237
Carolina Silva,Germany,COSRX AC Collection Lightweight Soothing Moisturizer 150ml,2021-05-18,14325.25,128
Tomás Coelho,Thailand,Drunk Elephant Protini Polypeptide Cream 30ml,2021-04-05,5935.92,53
Rafael Pereira,Colombia,The Ordinary Retinol 0.5% in Squalane 340g,2020-05-11,25311.93,502
Rodrigo Pereira,Singapore,Neutrogena Oil-Free Acne Wash 125ml,2020-03-24,3309.48,58
Afonso Oliveira,Brazil,Kiehl's Ultra Facial Cream 20ml,2023-07-23,7559.32,93
Inês Cardoso,Colombia,Tatcha The Water Cream 125ml,2023-08-12,1371.36,60
Pedro Cruz,Japan,Neutrogena Rapid Wrinkle Repair Retinol Cream 340g,2020-01-31,6341.15,108
Rodrigo Pereira,India,Pixi Vitamin-C Juice Cleanser 200ml,2023-10-11,3362.2,96
Martim Ferreira,Argentina,First Aid Beauty Ultra Repair Firming Collagen Cream 30g,2022-02-19,12131.58,436
Sofia Gomes,Japan,Murad Retinol Youth Renewal Serum 150ml,2022-10-02,2569.08,66
Ana Ferreira,Spain,La Roche-Posay Anthelios Invisible Fluid SPF50+ 50ml,2020-12-20,1392.42,89
Afonso Monteiro,Colombia,Bioderma Cicabio Arnica+ Repairing Cream 15ml,2022-10-09,936.77,128
Mariana Neves,France,Neutrogena Ultra Sheer Dry-Touch Sunscreen SPF 50+ 125ml,2024-02-09,2877.31,34
Tiago Carvalho,Chile,Skinceuticals Phyto Corrective Gel 15ml,2023-01-24,571.75,44
Leonor Coelho,Philippines,Avène Eau Thermale Spray 75ml,2022-08-31,9237.86,87
Margarida Oliveira,South Korea,COSRX Balancium B5 Biome Comfort Cream 20ml,2024-02-23,7216.89,98
Beatriz Ferreira,United States,Murad Vita-C Glycolic Brightening Serum 100ml,2020-05-01,1296.15,37
Tomás Correia,Colombia,Clinique Dramatically Different Moisturising Lotion+ 200ml,2023-02-25,5123.27,54
Margarida Marques,Chile,First Aid Beauty FAB Skin Lab Resurfacing Liquid 10% AHA 20ml,2022-04-11,23371.33,300
Ana Ferreira,Germany,Drunk Elephant Virgin Marula Luxury Face Oil 30ml,2024-03-17,14008.4,131
Mariana Soares,Philippines,Drunk Elephant A-Passioni Retinol Cream 40ml,2022-09-24,1052.94,63
Tomás Coelho,India,REN Clean Skincare Perfect Canvas Clean Primer 75ml,2020-07-15,668.58,82
Sara Fernandes,Mexico,Olay Regenerist Micro-Sculpting Cream 200ml,2021-07-25,3683.38,134
Joana Teixeira,Thailand,Skinceuticals A.G.E. Eye Complex 40ml,2020-06-11,1660.98,18
